datesk;Item Name;Date;price
20110123;Chillies Bajji;23/01/2011;NULL
20110123;Chillies Cleaned;23/01/2011;NULL
20110123;Chillies small (C.B.P);23/01/2011;NULL
20110123;Chillies Bajji yagani;23/01/2011;NULL
20110124;Chillies small (C.B.P);24/01/2011;NULL
20110124;Chillies Cleaned;24/01/2011;NULL
20110124;Chillies Bajji;24/01/2011;NULL
20110124;Chillies Green;24/01/2011;NULL
20110124;Chillies Bajji yagani;24/01/2011;NULL
20110125;Chillies Green;25/01/2011;NULL
20110125;Chillies Bajji;25/01/2011;NULL
20110125;Chillies Cleaned;25/01/2011;NULL
20110125;Chillies small (C.B.P);25/01/2011;NULL
20110125;Chillies Bajji yagani;25/01/2011;NULL
20110126;Chillies small (C.B.P);26/01/2011;NULL
20110126;Chillies Cleaned;26/01/2011;NULL
20110126;Chillies Bajji;26/01/2011;NULL
20110126;Chillies Green;26/01/2011;NULL
20110126;Chillies Bajji yagani;26/01/2011;NULL
20110127;Chillies Green;27/01/2011;NULL
20110127;Chillies Bajji;27/01/2011;NULL
20110127;Chillies Cleaned;27/01/2011;NULL
20110127;Chillies small (C.B.P);27/01/2011;NULL
20110127;Chillies Bajji yagani;27/01/2011;NULL
20110128;Chillies small (C.B.P);28/01/2011;NULL
20110128;Chillies Cleaned;28/01/2011;NULL
20110128;Chillies Bajji;28/01/2011;NULL
20110128;Chillies Green;28/01/2011;NULL
20110128;Chillies Bajji yagani;28/01/2011;NULL
20110129;Chillies Green;29/01/2011;NULL
20110129;Chillies Bajji;29/01/2011;NULL
20110129;Chillies Cleaned;29/01/2011;NULL
20110129;Chillies small (C.B.P);29/01/2011;NULL
20110129;Chillies Bajji yagani;29/01/2011;NULL
20110130;Chillies small (C.B.P);30/01/2011;NULL
20110130;Chillies Cleaned;30/01/2011;NULL
20110130;Chillies Bajji;30/01/2011;NULL
20110130;Chillies Green;30/01/2011;NULL
20110130;Chillies Bajji yagani;30/01/2011;NULL
20110131;Chillies Green;31/01/2011;NULL
20110131;Chillies Bajji;31/01/2011;NULL
20110131;Chillies Cleaned;31/01/2011;NULL
20110131;Chillies small (C.B.P);31/01/2011;NULL
20110131;Chillies Bajji yagani;31/01/2011;NULL
20110201;Chillies small (C.B.P);02/01/2011;NULL
20110201;Chillies Cleaned;02/01/2011;NULL
20110201;Chillies Bajji;02/01/2011;NULL
20110201;Chillies Green;02/01/2011;NULL
20110201;Chillies Bajji yagani;02/01/2011;NULL
20110202;Chillies Green;02/02/2011;NULL
20110202;Chillies Bajji;02/02/2011;NULL
20110202;Chillies Cleaned;02/02/2011;NULL
20110202;Chillies small (C.B.P);02/02/2011;NULL
20110202;Chillies Bajji yagani;02/02/2011;NULL
20110203;Chillies small (C.B.P);02/03/2011;NULL
20110203;Chillies Cleaned;02/03/2011;NULL
20110203;Chillies Bajji;02/03/2011;NULL
20110203;Chillies Green;02/03/2011;NULL
20110203;Chillies Bajji yagani;02/03/2011;NULL
20110204;Chillies Green;02/04/2011;NULL
20110204;Chillies Bajji;02/04/2011;NULL
20110204;Chillies Cleaned;02/04/2011;NULL
